geometry_wkt,building_area_total,building_count
"POLYGON ((956500 1947400, 956500 1947500, 956600 1947500, 956600 1947400, 956500 1947400))",0.0,0
"POLYGON ((956500 1947500, 956500 1947600, 956600 1947600, 956600 1947500, 956500 1947500))",0.0,0
"POLYGON ((956600 1947300, 956600 1947400, 956700 1947400, 956700 1947300, 956600 1947300))",0.0,0
"POLYGON ((956600 1947400, 956600 1947500, 956700 1947500, 956700 1947400, 956600 1947400))",0.0,0
"POLYGON ((956600 1947500, 956600 1947600, 956700 1947600, 956700 1947500, 956600 1947500))",0.0,0
"POLYGON ((956600 1947600, 956600 1947700, 956700 1947700, 956700 1947600, 956600 1947600))",0.0,0
"POLYGON ((956700 1947200, 956700 1947300, 956800 1947300, 956800 1947200, 956700 1947200))",0.0,0
"POLYGON ((956700 1947300, 956700 1947400, 956800 1947400, 956800 1947300, 956700 1947300))",0.0,0
"POLYGON ((956700 1947400, 956700 1947500, 956800 1947500, 956800 1947400, 956700 1947400))",0.0,0
"POLYGON ((956700 1947500, 956700 1947600, 956800 1947600, 956800 1947500, 956700 1947500))",0.0,0
"POLYGON ((956700 1947600, 956700 1947700, 956800 1947700, 956800 1947600, 956700 1947600))",0.0,0
"POLYGON ((956700 1947700, 956700 1947800, 956800 1947800, 956800 1947700, 956700 1947700))",0.0,0
"POLYGON ((956800 1947200, 956800 1947300, 956900 1947300, 956900 1947200, 956800 1947200))",0.0,0
"POLYGON ((956800 1947300, 956800 1947400, 956900 1947400, 956900 1947300, 956800 1947300))",0.0,0
"POLYGON ((956800 1947400, 956800 1947500, 956900 1947500, 956900 1947400, 956800 1947400))",0.0,0
"POLYGON ((956800 1947500, 956800 1947600, 956900 1947600, 956900 1947500, 956800 1947500))",0.0,0
"POLYGON ((956800 1947600, 956800 1947700, 956900 1947700, 956900 1947600, 956800 1947600))",0.0,0
"POLYGON ((956800 1947700, 956800 1947800, 956900 1947800, 956900 1947700, 956800 1947700))",0.0,0
"POLYGON ((956800 1947800, 956800 1947900, 956900 1947900, 956900 1947800, 956800 1947800))",0.0,0
"POLYGON ((956800 1947900, 956800 1948000, 956900 1948000, 956900 1947900, 956800 1947900))",0.0,0
"POLYGON ((956900 1947100, 956900 1947200, 957000 1947200, 957000 1947100, 956900 1947100))",0.0,0
"POLYGON ((956900 1947200, 956900 1947300, 957000 1947300, 957000 1947200, 956900 1947200))",0.0,0
"POLYGON ((956900 1947300, 956900 1947400, 957000 1947400, 957000 1947300, 956900 1947300))",0.0,0
"POLYGON ((956900 1947400, 956900 1947500, 957000 1947500, 957000 1947400, 956900 1947400))",0.0,0
"POLYGON ((956900 1947500, 956900 1947600, 957000 1947600, 957000 1947500, 956900 1947500))",0.0,0
"POLYGON ((956900 1947600, 956900 1947700, 957000 1947700, 957000 1947600, 956900 1947600))",0.0,0
"POLYGON ((956900 1947700, 956900 1947800, 957000 1947800, 957000 1947700, 956900 1947700))",0.0,0
"POLYGON ((956900 1947800, 956900 1947900, 957000 1947900, 957000 1947800, 956900 1947800))",0.0,0
"POLYGON ((956900 1947900, 956900 1948000, 957000 1948000, 957000 1947900, 956900 1947900))",0.0,0
"POLYGON ((956900 1948000, 956900 1948100, 957000 1948100, 957000 1948000, 956900 1948000))",0.0,0
"POLYGON ((957000 1947100, 957000 1947200, 957100 1947200, 957100 1947100, 957000 1947100))",0.0,0
"POLYGON ((957000 1947200, 957000 1947300, 957100 1947300, 957100 1947200, 957000 1947200))",0.0,0
"POLYGON ((957000 1947300, 957000 1947400, 957100 1947400, 957100 1947300, 957000 1947300))",0.0,0
"POLYGON ((957000 1947400, 957000 1947500, 957100 1947500, 957100 1947400, 957000 1947400))",0.0,0
"POLYGON ((957000 1947500, 957000 1947600, 957100 1947600, 957100 1947500, 957000 1947500))",0.0,0
"POLYGON ((957000 1947600, 957000 1947700, 957100 1947700, 957100 1947600, 957000 1947600))",0.0,0
"POLYGON ((957000 1947700, 957000 1947800, 957100 1947800, 957100 1947700, 957000 1947700))",0.0,0
"POLYGON ((957000 1947800, 957000 1947900, 957100 1947900, 957100 1947800, 957000 1947800))",0.0,0
"POLYGON ((957000 1947900, 957000 1948000, 957100 1948000, 957100 1947900, 957000 1947900))",0.0,0
"POLYGON ((957000 1948000, 957000 1948100, 957100 1948100, 957100 1948000, 957000 1948000))",0.0,0
"POLYGON ((957000 1948100, 957000 1948200, 957100 1948200, 957100 1948100, 957000 1948100))",0.0,0
"POLYGON ((957100 1947300, 957100 1947400, 957200 1947400, 957200 1947300, 957100 1947300))",0.0,0
