위반쓰레기,장소,위반일시,lat,lng
담배꽁초,대치동 선릉로424,2022.1.3 10:11,37.50291015,127.050065
담배꽁초,대치동 테헤란로424,2022.1.3 10:34,37.50549274,127.0534677
담배꽁초,대치동 선릉로90길36,2022.1.3 10:40,37.50464909,127.0521572
담배꽁초,대치동 선릉로90길40,2022.1.3 10:50,37.50479374,127.0524666
담배꽁초,대치동 선릉로90길36,2022.1.3 11:08,37.50464909,127.0521572
담배꽁초,대치동 선릉로90길64,2022.1.3 11:33,37.5053096,127.0543865
담배꽁초,대치동 테헤란로510,2022.1.3 13:15,37.50700154,127.0586561
담배꽁초,논현동 39-1,2022.1.3 9:00,37.51461825,127.0272226
담배꽁초,논현동 학동로4길20,2022.1.3 10:29,37.51009174,127.0232398
담배꽁초,논현동 학동로4길16,2022.1.3 9:33,37.51038468,127.0230969
담배꽁초,논현동 학동로4길15,2022.1.3 9:39,37.51051524,127.0235361
담배꽁초,논현동 학동로4길15,2022.1.3 9:47,37.51051524,127.0235361
담배꽁초,논현동 학동로4길15,2022.1.3 10:06,37.51051524,127.0235361
담배꽁초,논현동 학동로4길15,2022.1.3 10:23,37.51051524,127.0235361
담배꽁초,논현동 학동로4길15,2022.1.3 10:29,37.51051524,127.0235361
담배꽁초,역삼동 효성해링턴타워,2022.1.3 11:00,37.49699028,127.0297696
담배꽁초,역삼동 패스트파이브,2022.1.3 11:00,37.49649204,127.0296959
담배꽁초,역삼동 패스트파이브,2022.1.3 11:20,37.49649204,127.0296959
담배꽁초,역삼동 역삼타워,2022.1.3 11:20,37.50203684,127.038974
담배꽁초,강남역 11번출구,2022.1.3 11:50,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 12:10,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 13:40,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 13:50,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 13:50,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 13:55,37.49883339,127.027503
담배꽁초,역삼동 패스트파이브,2022.1.3 11:22,37.49649204,127.0296959
담배꽁초,강남역 1번출구,2022.1.3 11:30,37.49807624,127.028758
담배꽁초,강남역 1번출구,2022.1.3 11:42,37.49807624,127.028758
담배꽁초,역삼동 강남대로406,2022.1.3 13:25,37.49891066,127.027637
담배꽁초,대치동 테헤란로412,2022.1.3 10:50,37.50474814,127.0512647
담배꽁초,대치동 다봉타워,2022.1.3 10:58,37.50508343,127.0522374
담배꽁초,대치동 891-37,2022.1.3 11:24,37.50533141,127.0543735
담배꽁초,강남역 11번출구,2022.1.3 10:48,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 11:05,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 11:14,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 11:34,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 11:43,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 13:45,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 13:52,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 13:57,37.49883339,127.027503
담배꽁초,강남역 11번출구,2022.1.3 10:41,37.49883339,127.027503
담배꽁초,역삼동 강남대로406,2022.1.3 10:50,37.49891066,127.027637
담배꽁초,강남역 11번출구,2022.1.3 11:00,37.49883339,127.027503
담배꽁초,역삼동 강남대로406,2022.1.3 11:04,37.49891066,127.027637
