STDR_YYQU_CD,TRDAR_CD_NM,TOT_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,lat,lon,snapped_geometry,geometry,snapped_lat,snapped_lon,grid_x,grid_y
20191,서울세관,700352.0,44888.0,140916.0,182543.0,136481.0,80938.0,114586.0,37.518410417962016,127.03438768893974,POINT (958849.4414159775 1946686.892814918),POINT (127.03432974244345 37.518556645466234),37.518556645466234,127.03432974244345,63517,18759
20191,역삼역,5123674.0,189741.0,1248859.0,1489998.0,979780.0,573746.0,641551.0,37.5006744185994,127.03646946847,POINT (959026.867458433 1944707.2420003414),POINT (127.03644783926623 37.50072124649913),37.50072124649913,127.03644783926623,63518,18750
20191,구역삼세무서,2735527.0,170295.0,663373.0,738048.0,472682.0,291801.0,399329.0,37.49586125410494,127.0392455863024,POINT (959270.1657668875 1944170.1739557437),POINT (127.03923007375947 37.49589121870279),37.49589121870279,127.03923007375947,63519,18747
20191,경복아파트교차로,505522.0,27105.0,109292.0,147631.0,93738.0,54341.0,73416.0,37.50865485757439,127.03856801207992,POINT (959218.959280663 1945586.8079657725),POINT (127.03857222681931 37.50865760469068),37.50865760469068,127.03857222681931,63519,18754
20191,학동사거리,1349117.0,97382.0,326760.0,360568.0,232187.0,138687.0,193534.0,37.5231986637448,127.039159220575,POINT (959274.3282672922 1947199.9734806633),POINT (127.03910928215446 37.52320007568423),37.52320007568423,127.03910928215446,63519,18761
20191,도곡1동,1129303.0,132362.0,194417.0,247036.0,195621.0,149719.0,210148.0,37.4883045975414,127.03896912922,POINT (959244.1349788129 1943305.3558054355),POINT (127.03898351360064 37.48809512963949),37.48809512963949,127.03898351360064,63519,18744
20191,압구정로데오역,2473598.0,215005.0,546096.0,576031.0,423511.0,278967.0,433988.0,37.5275184818021,127.0406027693898,POINT (959403.8470473677 1947679.8081486605),POINT (127.04054847392193 37.527530698109494),37.527530698109494,127.04054847392193,63520,18763
20191,강남구청역,2297199.0,233278.0,437673.0,544747.0,425190.0,266973.0,389338.0,37.51721617197854,127.0413109462156,POINT (959468.2325263999 1946536.04986423),POINT (127.04134025584744 37.5172244450548),37.5172244450548,127.04134025584744,63520,18758
20191,르네상스호텔사거리,2000759.0,118611.0,376811.0,526348.0,403488.0,262467.0,313031.0,37.50255900235868,127.04279570309748,POINT (959591.0551888243 1944909.373678968),POINT (127.04281951739132 37.502568009696866),37.502568009696866,127.04281951739132,63521,18751
20191,선릉역,5144960.0,412881.0,1006240.0,1301794.0,1008881.0,653742.0,761423.0,37.504497373023206,127.04896282498558,POINT (960135.0732804401 1945120.8037567493),POINT (127.0489628129735 37.50449736959346),37.50449736959346,127.0489628129735,63524,18752
20191,매봉역,574866.0,45130.0,91702.0,114648.0,101655.0,85834.0,135899.0,37.4869394661317,127.046711448388,POINT (959925.0756647976 1943176.6083417486),POINT (127.04669287276585 37.486964481754896),37.486964481754896,127.04669287276585,63523,18743
20191,선정릉역,2385287.0,294646.0,421930.0,553319.0,448401.0,260511.0,406482.0,37.5109326388803,127.043627289129,POINT (959671.0971786758 1945838.2612029843),POINT (127.04367411282256 37.51094391767784),37.51094391767784,127.04367411282256,63521,18755
20191,청담사거리,1538034.0,162280.0,281386.0,341582.0,270096.0,193522.0,289169.0,37.5242371955534,127.047417975116,POINT (960004.6248570834 1947309.761920008),POINT (127.04736780125606 37.52422159920575),37.52422159920575,127.04736780125606,63523,18762
20191,강남구청,852322.0,129631.0,108131.0,156914.0,154616.0,109587.0,193442.0,37.51733192586,127.047377408384,POINT (959941.4556323623 1946533.31751292),POINT (127.04669526954086 37.517220490433864),37.517220490433864,127.04669526954086,63523,18758
20191,경기고교사거리,223780.0,22803.0,30724.0,47824.0,41231.0,32882.0,48314.0,37.5200703151473,127.057026004229,POINT (960856.2462248376 1946842.1787412683),POINT (127.0570303479779 37.52004364529435),37.52004364529435,127.0570303479779,63528,18760
20191,도성초등학교,700638.0,168015.0,98409.0,106880.0,133174.0,82761.0,111399.0,37.5011924464183,127.049054532698,POINT (960258.9256829375 1944799.8804601866),POINT (127.05038140304354 37.50161010680411),37.50161010680411,127.05038140304354,63525,18750
20191,한티역,1023481.0,291185.0,112755.0,117269.0,207005.0,141242.0,154026.0,37.4962857047653,127.052909749417,POINT (960484.1547037477 1944209.7659703963),POINT (127.05296121549137 37.49630084392101),37.49630084392101,127.05296121549137,63526,18748
20191,삼성중앙역,2106438.0,153616.0,401058.0,563098.0,428613.0,249678.0,310376.0,37.5129614511319,127.053043676912,POINT (960501.6791120213 1946053.9091498163),POINT (127.05306038223605 37.51292356598541),37.51292356598541,127.05306038223605,63526,18756
20191,영동대교남단교차로,385537.0,32896.0,56128.0,88724.0,73165.0,57053.0,77570.0,37.5250775487636,127.054346432267,POINT (960619.4118988046 1947401.545609334),POINT (127.05432030030084 37.525075337547705),37.525075337547705,127.05432030030084,63527,18762
20191,포스코사거리,3393292.0,258754.0,646731.0,935664.0,733146.0,410161.0,408838.0,37.5068365762856,127.056595204405,POINT (960806.3610701307 1945375.0667517893),POINT (127.05654408798168 37.50681789556799),37.50681789556799,127.05654408798168,63528,18753
20191,삼성역,1105514.0,83180.0,239981.0,307369.0,214180.0,125254.0,135551.0,37.508822740225305,127.06302321147604,POINT (961376.5280389651 1945593.4563368692),POINT (127.06298358629414 37.5088103684908),37.5088103684908,127.06298358629414,63531,18754
20191,대치사거리,1732918.0,427366.0,238691.0,304190.0,332937.0,209195.0,220539.0,37.5030946088049,127.058632600444,POINT (960986.8579492097 1944965.6154962482),POINT (127.05860799054618 37.503135000394245),37.503135000394245,127.05860799054618,63529,18751
20191,코엑스,51429.0,3751.0,12442.0,13952.0,10002.0,5630.0,5652.0,37.51266138067201,127.05882784390124,POINT (961047.5369376137 1946101.4079308636),POINT (127.0592343 37.51337490000001),37.51337490000001,127.0592343,63529,18756
20191,은마아파트,1040194.0,406054.0,104317.0,89833.0,187540.0,123335.0,129114.0,37.49741836284779,127.06532735974666,POINT (961578.218995369 1944328.6293656677),POINT (127.06533171441438 37.49741839561164),37.49741839561164,127.06533171441438,63532,18748
20191,대치역,567234.0,177464.0,49395.0,49138.0,110295.0,77535.0,103408.0,37.4944966528582,127.063203409529,POINT (961389.8079754149 1944005.8515795097),POINT (127.0632172085737 37.49450120515171),37.49450120515171,127.0632172085737,63531,18747
20191,봉은사역,688118.0,57288.0,119987.0,171476.0,141719.0,88662.0,108985.0,37.5142554489848,127.060233935114,POINT (961135.498125054 1946202.5670963367),POINT (127.06022424574971 37.5142903958233),37.5142903958233,127.06022424574971,63530,18757
20191,석촌역,2224316.0,283142.0,380868.0,460858.0,328689.0,308071.0,462687.0,37.5054141216925,127.107004062699,POINT (965265.4970883303 1945199.5062918006),POINT (127.107004062699 37.50541412169251),37.50541412169251,127.107004062699,63553,18752
20191,휘문고교사거리,318903.0,44433.0,55921.0,79690.0,61081.0,37032.0,40745.0,37.5052103918677,127.065089858274,POINT (961562.6735217883 1945188.6981797584),POINT (127.06511089201258 37.50516989646264),37.50516989646264,127.06511089201258,63532,18752
20191,수서역,296673.0,31234.0,33090.0,52508.0,45158.0,39789.0,94895.0,37.48549612670822,127.10437056849396,POINT (964992.1652393771 1942967.7776044086),POINT (127.1040178 37.48528819999999),37.48528819999999,127.1040178,63552,18742
20191,잠실새내역,2936715.0,474775.0,548892.0,522094.0,479962.0,358989.0,552001.0,37.5116263587296,127.086314327913,POINT (963439.8800661756 1945896.5516446184),POINT (127.08631432791302 37.5116263587296),37.5116263587296,127.08631432791302,63543,18755
20191,석촌고분역,669789.0,88317.0,105598.0,141778.0,104568.0,88437.0,141091.0,37.50246245994369,127.0965081858022,POINT (964011.2011952624 1944112.4893689393),POINT (127.0928661303462 37.49556829662515),37.49556829662515,127.0928661303462,63546,18747
20191,잠실역,1188234.0,139381.0,188516.0,249432.0,206028.0,163694.0,241182.0,37.51331105877401,127.10023101886318,POINT (964670.5888764267 1946078.141811445),POINT (127.10023101886318 37.513311058774),37.513311058774,127.10023101886318,63550,18756
20191,가락시장역,1936952.0,152134.0,268757.0,383356.0,358782.0,361057.0,412864.0,37.4930992522183,127.118262745146,POINT (966255.0455559402 1943829.1582933422),POINT (127.118262745146 37.4930992522183),37.4930992522183,127.118262745146,63559,18746
20191,방이동먹자골목,1807124.0,128260.0,403276.0,394069.0,291340.0,258614.0,331563.0,37.5147825360342,127.109220856293,POINT (965465.7431736749 1946238.0551061106),POINT (127.109220856293 37.5147825360342),37.5147825360342,127.109220856293,63554,18757
20191,송파사거리,624869.0,89739.0,88768.0,106359.0,94278.0,100761.0,144964.0,37.501976642902,127.110102416473,POINT (965537.7626932954 1944817.0016624958),POINT (127.110102416473 37.50197664290201),37.50197664290201,127.110102416473,63555,18750
20191,가락시장,25162.0,2579.0,2665.0,4299.0,4372.0,4974.0,6272.0,37.4938884413034,127.110927336635,POINT (965606.966644412 1943919.3683616524),POINT (127.110927336635 37.4938884413034),37.4938884413034,127.110927336635,63555,18746
20191,송파나루역,331063.0,35945.0,55590.0,68407.0,47720.0,47628.0,75773.0,37.51101671275264,127.11266171422028,POINT (965768.1027921848 1945819.0038976532),POINT (127.1126617142203 37.51101671275264),37.51101671275264,127.1126617142203,63556,18755
20191,몽촌토성역,734127.0,76564.0,143506.0,162756.0,118335.0,90907.0,142061.0,37.5178055794687,127.11286534895456,POINT (965789.1986394936 1946572.1109716604),POINT (127.11286534895457 37.51780557946871),37.51780557946871,127.11286534895457,63556,18758
20191,약수시장,311305.0,36303.0,43796.0,48701.0,48684.0,43404.0,90418.0,37.54845261293641,127.02271403358448,POINT (957839.8061191178 1950008.8235324486),POINT (127.02271403358448 37.54845261293641),37.54845261293641,127.02271403358448,63511,18774
20191,금남시장,561738.0,98948.0,57031.0,87203.0,77829.0,79007.0,161720.0,37.54845261293641,127.02271403358448,POINT (957839.8061191178 1950008.8235324486),POINT (127.02271403358448 37.54845261293641),37.54845261293641,127.02271403358448,63511,18774
20191,뚝도시장,354683.0,48760.0,46506.0,56028.0,57165.0,69658.0,76565.0,37.53779946404449,127.05482635396496,POINT (960670.8093922379 1948813.000701898),POINT (127.05482635396496 37.53779946404449),37.53779946404449,127.05482635396496,63527,18768
20191,한아름시장,98419.0,9365.0,46070.0,15718.0,8745.0,7632.0,10890.0,37.543453355017,127.069952556124,POINT (962010.0202169961 1949434.0483538006),POINT (127.06995255612401 37.54345335501701),37.54345335501701,127.06995255612401,63534,18771
20191,영동교골목시장,295018.0,19619.0,44797.0,43743.0,45561.0,63272.0,78028.0,37.53783462288767,127.06375931318348,POINT (961460.0202970128 1948813.2027531154),POINT (127.06375931318348 37.53783462288767),37.53783462288767,127.06375931318348,63531,18768
20191,노룬산시장,143876.0,11144.0,20484.0,21104.0,22093.0,29749.0,39299.0,37.5368709290181,127.0647236217369,POINT (961544.7183259685 1948705.8917478935),POINT (127.0647236217369 37.5368709290181),37.5368709290181,127.0647236217369,63532,18768
20191,조양시장,45906.0,4619.0,14265.0,7401.0,5872.0,5826.0,7925.0,37.5389390239216,127.067409288948,POINT (961783.0451494099 1948934.2399610677),POINT (127.06740928894799 37.5389390239216),37.5389390239216,127.06740928894799,63533,18769
20191,자양종합시장,57354.0,11951.0,6792.0,9134.0,8921.0,8803.0,11750.0,37.5348808261609,127.079172429807,POINT (962820.2425450432 1948479.291023102),POINT (127.079172429807 37.5348808261609),37.5348808261609,127.079172429807,63539,18767
20191,자양골목전통시장,1193239.0,133274.0,193774.0,196956.0,177479.0,194408.0,297348.0,37.5368709290181,127.0647236217369,POINT (961544.7183259685 1948705.8917478935),POINT (127.0647236217369 37.5368709290181),37.5368709290181,127.0647236217369,63532,18768
20191,남서울상가,49551.0,2529.0,9151.0,8472.0,7025.0,8322.0,14052.0,37.4990396308823,127.051893898997,POINT (960373.2359198 1944507.3776460474),POINT (127.05169040141493 37.49897858018551),37.49897858018551,127.05169040141493,63525,18749
