행정동코드,행정동명,총생활인구수,lat,lon
11680660,개포1동,608932,37.4778,127.062
11680670,개포2동,809812,37.4847,127.069
11680690,개포4동,401945,37.4963,127.079
11680521,논현1동,1092780,37.4753,127.053
11680531,논현2동,1296057,37.5119,127.026
11680600,대치1동,637127,37.5152,127.036
11680610,대치2동,1393388,37.4934,127.059
11680630,대치4동,1036794,37.501,127.066
11680655,도곡1동,1092019,37.5016,127.055
11680656,도곡2동,722285,37.4889,127.041
11680580,삼성1동,1178178,37.4883,127.05
11680590,삼성2동,1037820,37.5153,127.061
11680700,세곡동,1152405,37.5119,127.049
11680750,수서동,657102,37.4707,127.104
11680510,신사동,910485,37.4869,127.1
11680545,압구정동,1029134,37.5261,127.02
11680640,역삼1동,2850507,37.5298,127.034
11680650,역삼2동,1423963,37.5008,127.035
11680730,일원1동,347447,37.4985,127.045
11680740,일원2동,474719,37.4935,127.089
11680720,일원본동,595288,37.4823,127.085
11680565,청담동,1053412,37.5244,127.05
